PRODUCT_ID,n_txn,total_quantity,total_revenue,total_retail_disc,n_weeks,n_households,n_stores,DEPARTMENT,COMMODITY_DESC,SUB_COMMODITY_DESC,BRAND,CURR_SIZE_OF_PRODUCT,avg_price,disc_ratio,disc_variation,norm_n_txn,norm_n_households,norm_disc_variation,norm_n_weeks,score
995242,12542,21758,26502.46,-14483.43,102,1465,115,GROCERY,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Private, ,1.218055887489659,0.5464937971795826,0.33596250573141573,0.4172695922645209,0.7060827250608273,0.3260973549122994,1.0,0.5832258976726379
988693,661,739,1194.73,-294.9,96,327,101,GROCERY,ICE CREAM/MILK/SHERBTS,TRADITIONAL,Private,56 OZ,1.616684709066306,0.2468340127057996,0.32783016574506507,0.015585908445466225,0.15231143552311435,0.3177040294424451,0.8571428571428571,0.29360821020360117
1027068,405,440,1051.82,-506.09,90,202,89,GROCERY,COLD CEREAL,KIDS CEREAL,National,15 OZ,2.3905,0.48115647163963415,0.38544728177603893,0.006930826965988235,0.09148418491484185,0.37717021116799987,0.7142857142857143,0.26209998996764977
960732,549,595,1721.01,-651.04,97,278,104,GROCERY,COLD CEREAL,ALL FAMILY CEREAL,National,14 OZ,2.892453781512605,0.3782894927978338,0.22678888516841292,0.011799310298194605,0.12846715328467154,0.21342010191431462,0.8809523809523809,0.26520208307968113
1071342,640,712,1806.21,-1096.99,95,366,103,GROCERY,COLD CEREAL,ALL FAMILY CEREAL,National,12.25 OZ,2.536811797752809,0.6073435536288693,0.3391991433575883,0.014875921292852796,0.17128953771289537,0.32943786367976835,0.8333333333333334,0.29631129340268847
935284,652,1111,1120.04,-107.88000000000001,98,294,106,GROCERY,FROZEN PIZZA,PIZZA/ECONOMY,National,10.9 OZ,1.0081368136813682,0.09631798864326276,0.27733714140182264,0.015281628237203327,0.1362530413625304,0.2655905678826204,0.9047619047619048,0.28599777173482965
915874,217,272,378.21999999999997,-319.90000000000003,64,135,72,GROCERY,ICE CREAM/MILK/SHERBTS,PREMIUM PINTS,National,PT,1.3905147058823528,0.845804029400878,0.988910547272013,0.0005747515044965853,0.05888077858880779,1.0,0.09523809523809523,0.28394023914616995
1127624,813,1509,1526.86,-157.26000000000002,102,338,109,GROCERY,FROZEN PIZZA,PIZZA/ECONOMY,National,10.7 OZ,1.0118356527501655,0.10299569050207617,0.2803637612175824,0.02072486307390628,0.15766423357664233,0.2687143188853846,1.0,0.31281209703767865
1079228,366,533,677.61,-316.5,96,215,93,GROCERY,BAG SNACKS,PRETZELS,National,16 OZ,1.271313320825516,0.4670828352592199,0.5501154693382766,0.00561227939684901,0.09781021897810219,0.5471229793823907,0.8571428571428571,0.33434555483774936
5568378,2692,2874,6445.24,-1675.61,101,856,112,GROCERY,BAG SNACKS,TORTILLA/NACHO CHIPS,National,12.5 OZ,2.2426026443980516,0.25997635464311647,0.2431289037771115,0.08425180877679356,0.4097323600973236,0.23028450928002622,0.9761904761904762,0.38051785521547077
897752,400,595,754.36,-297.84999999999997,101,212,92,GROCERY,BAG SNACKS,PRETZELS,National,16 OZ,1.2678319327731093,0.39483800837796273,0.770180549367607,0.00676178240584218,0.09635036496350365,0.7742504536807903,0.9761904761904762,0.4149168346209213
950557,379,666,374.25,-151.5,98,136,76,GROCERY,YOGURT,YOGURT NOT MULTI-PACKS,National,6 OZ,0.5619369369369369,0.40480961923847697,0.2193921272030666,0.006051795253228751,0.05936739659367397,0.20578596498335874,0.9047619047619048,0.24905625992260777
870780,631,1222,696.16,-253.51999999999998,99,262,102,GROCERY,YOGURT,YOGURT NOT MULTI-PACKS,National,6 OZ,0.5696890343698854,0.3641691565157435,0.14830488683910278,0.014571641084589897,0.12068126520681265,0.13241737167196918,0.9285714285714286,0.25336043725935814
1055853,437,905,510.02,-204.93,98,180,87,GROCERY,YOGURT,YOGURT NOT MULTI-PACKS,National,6 OZ,0.5635580110497237,0.40180777224422576,0.22188540372189977,0.008012712150922984,0.08077858880778589,0.20835925647683243,0.9047619047619048,0.25564065591881246
925626,906,1934,1958.99,-221.17000000000002,100,388,104,GROCERY,FROZEN PIZZA,PIZZA/ECONOMY,National,10.2 OZ,1.0129214064115821,0.11290001480354674,0.27015832695036435,0.023869091892622894,0.18199513381995133,0.2581813687738874,0.9523809523809523,0.30768104369243704
1053690,3394,5311,6270.1,-2173.29,102,872,113,GROCERY,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,National,2LTR,1.1805874599887027,0.34661169678314535,0.2363455430913925,0.10798566502129961,0.41751824817518246,0.2232834549573819,1.0,0.392596125289531
1029743,14430,16976,41072.06,-2633.8,102,1387,115,GROCERY,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Private,1 GA,2.41941918001885,0.06412631847538205,0.12427973683575114,0.48110081817567113,0.6681265206812652,0.10762119937978105,1.0,0.5382671754679629
1133018,7315,12318,14942.36,-8195.09,101,1078,115,GROCERY,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,Private, ,1.2130508199383017,0.5484468316919148,0.32907951493861587,0.24055040908783556,0.5177615571776155,0.318993473123424,0.9761904761904762,0.4765919755397058
981760,9126,11229,11693.65,-1971.51,102,1629,114,GROCERY,EGGS,EGGS - X-LARGE,Private,1 DZ,1.0413794638881468,0.16859663150513313,0.19818239450028108,0.3017783487727365,0.7858880778588808,0.18389556320454953,1.0,0.5329794148976785
840361,5338,6060,6125.1,-760.25,102,1371,115,GROCERY,EGGS,EGGS - LARGE,Private,1 DZ,1.0107425742574259,0.12412042252371389,0.1996763005761939,0.1737101900060856,0.6603406326034064,0.18543741216039428,1.0,0.4635575681927758
844165,3025,5145,5816.53,-2614.42,102,737,114,GROCERY,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,National,2 LTR,1.1305208940719145,0.44948104797877775,0.27266142405524474,0.09551017648252079,0.3518248175182482,0.2607647960185886,1.0,0.3818004563289654
923746,4857,5669,7734.28,-1161.74,102,1143,114,GROCERY,EGGS,EGGS - LARGE,Private,18 CT,1.3643111659904745,0.15020661263879767,0.14194523303311488,0.15744810332003517,0.5493917274939173,0.1258536219567771,1.0,0.4160457683586841
854042,299,323,617.97,-345.81,91,204,88,GROCERY,ICE CREAM/MILK/SHERBTS,TRADITIONAL,Private,56 OZ,1.9132198142414862,0.5595902713723967,0.45368293007341615,0.003347082290891879,0.09245742092457421,0.4475956982685956,0.7380952380952381,0.28363645210460764
826249,5505,6837,6422.52,-1926.37,102,1312,112,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,Private,12 OZ,0.9393769197016236,0.29993989898046247,0.15012473261072792,0.1793562783149638,0.6316301703163018,0.13429562047758045,1.0,0.44528833119295974
5569230,4834,7682,23651.56,-12340.51,102,968,114,GROCERY,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,National,12 OZ,3.0788284300963293,0.5217630464967216,0.30964476404478686,0.1566704983433633,0.4642335766423358,0.2989350163998692,1.0,0.43779329776356024
1096036,3123,3975,5727.69,-1613.58,102,893,114,GROCERY,CHEESE,IWS SINGLE CHEESE,Private,12 OZ,1.4409283018867924,0.28171566547770566,0.16167812848479982,0.09882344986138346,0.42773722627737226,0.14621979138237715,1.0,0.3731362893733524
859075,3484,4963,7574.68,-1746.1200000000001,101,1014,114,GROCERY,CHEESE,SHREDDED CHEESE,Private,8 OZ,1.5262301027604273,0.23052062925430514,0.20572355320917599,0.1110284671039286,0.48661800486618007,0.19167873503084018,0.9761904761904762,0.3981208203435289
883404,6904,8902,8610.46,-2501.0,102,1249,114,GROCERY,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,Private,20 OZ,0.9672500561671533,0.2904606722521213,0.13238808016571607,0.22665494624382987,0.6009732360097324,0.11598975808538649,1.0,0.4472372323969287
1098066,5040,6672,6224.92,-1877.9199999999998,102,1317,113,GROCERY,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,Private,11 OZ,0.9329916067146283,0.30167777256575184,0.15031146367088516,0.16363513422138076,0.6340632603406327,0.13448834416668606,1.0,0.4412284413932439
914190,2041,4093,5126.93,-2551.33,100,837,111,GROCERY,CHEESE,CREAM CHEESE,National,L      8OZ,1.252609333007574,0.49763308646695,0.3744431680520534,0.062242207045777265,0.4004866180048662,0.3658129501400891,0.9523809523809523,0.40072374462616245
916122,4415,6985,28951.93,-29965.92,101,1154,113,MEAT,CHICKEN,CHICKEN BREAST BONELESS,National, ,4.144871868289191,1.0350232264308459,0.4482576665370309,0.14250456420312393,0.5547445255474452,0.44199632555458684,0.9761904761904762,0.48717467727454045
863447,1004,1261,7409.24,-2747.76,98,484,107,MEAT,BEEF,CHOICE BEEF,National, ,5.875685963521015,0.37085585026264506,0.2598138647282226,0.027182365271485563,0.22871046228710462,0.2475049289808175,0.9047619047619048,0.30816093835080716
844179,3941,5435,20154.77,-5582.87,102,1131,114,MEAT,BEEF,PRIMAL,National, ,3.708329346826127,0.2769999359953004,0.18571287149242133,0.126479139901278,0.5435523114355231,0.17102586454039304,1.0,0.4165882859643624
1044078,4058,6040,18896.43,-6163.32,102,1094,113,MEAT,BEEF,LEAN,National, ,3.128548013245033,0.3261631959052583,0.23712087922594702,0.13043478260869565,0.5255474452554745,0.2240836734107148,1.0,0.426538214449156
897954,911,1317,4342.9,-3869.9900000000002,101,514,110,MEAT,CHICKEN,CHICKEN BREAST BONELESS,National, ,3.297570235383447,0.8911073245987705,0.5189169174895735,0.02403813645276895,0.24330900243309003,0.514923194290548,0.9761904761904762,0.39200758535483543
985999,1082,1741,6975.1,-4867.81,99,533,107,MEAT,CHICKEN,CHICKEN BREAST BONE IN,National, ,4.006375646180357,0.6978839013060745,0.3735620118440955,0.029819460409764013,0.25255474452554744,0.36490351560395473,0.9285714285714286,0.3490246888695905
982790,625,890,1776.41,-884.69,98,322,101,MEAT-PCKGD,LUNCHMEAT,BOLOGNA,National,16 OZ,1.9959662921348316,0.49802129013009383,0.463361056777025,0.014368787612414632,0.14987834549878346,0.4575844183046758,0.9047619047619048,0.33712870818697016
1027168,755,883,2624.35,-433.07,100,377,101,MEAT-PCKGD,LUNCHMEAT,PEPPERONI/SALAMI,National,8 OZ,2.972083805209513,0.1650199096919237,0.20955249105451249,0.01876394617621205,0.17664233576642335,0.19563055229299248,0.9523809523809523,0.28917359634390805
1092937,498,653,1553.27,-595.0600000000001,92,215,90,MEAT-PCKGD,LUNCHMEAT,BOLOGNA,National,16OZ,2.378667687595712,0.3831014569263554,0.2911800408464472,0.010075055784704847,0.09781021897810219,0.27987771779029885,0.7619047619047619,0.24982545330846412
1082185,29778,30896,29482.0,-2318.64,102,2069,115,PRODUCE,TROPICAL FRUIT,BANANAS,National,40 LB,0.9542335577421025,0.07864595346313004,0.193175007305195,1.0,1.0,0.17872747744418052,1.0,0.7946818693610451
1028816,1542,2999,3854.91,-257.48,102,345,104,PRODUCE,TROPICAL FRUIT,AVOCADO,National, ,1.285398466155385,0.06679273964891529,0.12632086654848118,0.04537155994320103,0.1610705596107056,0.10972783363681994,1.0,0.2813110662948417
968215,820,2873,1133.78,-17.43,100,371,105,PRODUCE,TROPICAL FRUIT,KIWI FRUIT,National, ,0.3946327880264532,0.015373352855051245,0.02628241688360173,0.02096152545811076,0.17372262773722627,0.006478920169570593,0.9523809523809523,0.24181503509032293
1127831,5271,7536,16785.99,-5546.9400000000005,94,1264,112,PRODUCE,BERRIES,STRAWBERRIES,National,16 OZ,2.227440286624204,0.3304505721735805,0.316413336614411,0.17144499290012846,0.6082725060827251,0.3059208080217806,0.8095238095238095,0.44188658830092686
5578547,413,469,1417.5600000000002,-32.089999999999996,74,168,88,PRODUCE,BERRIES,BLUEBERRIES,National,4.4 OZ,3.0225159914712156,0.022637489771156066,0.10372382843923254,0.007201298262221921,0.07493917274939173,0.08640560463213516,0.3333333333333333,0.10916325049071496
903800,285,333,1063.18,-28.81,62,137,72,PRODUCE,BERRIES,BLUEBERRIES,National,4.4 OZ,3.192732732732733,0.027097951428732666,0.15441311753687975,0.0028737575224829265,0.059854014598540145,0.138721629533476,0.047619047619047616,0.06002984781355844
